,coordonate
0,"(-167.0, 61.0)"
1,"(-338.0, 74.0)"
2,"(-33.0, -108.0)"
3,"(164.0, 87.0)"
4,"(-302.0, 173.0)"
5,"(-68.0, 210.0)"
6,"(158.0, 310.0)"
7,"(263.0, -106.0)"
8,"(12.0, -7.0)"
9,"(168.0, -86.0)"
10,"(195.0, -226.0)"
11,"(-334.0, -100.0)"
12,"(-160.0, 138.0)"
13,"(330.0, -237.0)"
14,"(88.0, 9.0)"
15,"(34.0, -134.0)"
16,"(-160.0, -249.0)"
17,"(271.0, -7.0)"
18,"(89.0, -253.0)"
19,"(-183.0, -126.0)"
20,"(41.0, 110.0)"
21,"(-224.0, -9.0)"
22,"(217.0, -176.0)"
23,"(217.0, 209.0)"
24,"(101.0, -192.0)"
25,"(-119.0, 278.0)"
26,"(-236.0, -179.0)"
27,"(-52.0, 111.0)"
28,"(114.0, 167.0)"
29,"(-67.0, -231.0)"
30,"(93.0, -111.0)"
31,"(-195.0, 203.0)"
32,"(-230.0, 275.0)"
33,"(-90.0, 4.0)"
34,"(61.0, 262.0)"
35,"(1.0, -268.0)"
36,"(-397.0, -11.0)"
37,"(370.0, -105.0)"
38,"(-103.0, -109.0)"
39,"(267.0, 104.0)"
40,"(180.0, -6.0)"
