,judet,x,y
0,Alba,-167.0,61.0
1,Arad,-338.0,74.0
2,Arges,-33.0,-108.0
3,Bacau,164.0,87.0
4,Bihor,-302.0,173.0
5,Bistrita-Nasaud,-68.0,210.0
6,Botosani,158.0,310.0
7,Braila,263.0,-106.0
8,Brasov,12.0,-7.0
9,Buzau,168.0,-86.0
10,Calarasi,195.0,-226.0
11,Caras-Severin,-334.0,-100.0
12,Cluj,-160.0,138.0
13,Constanta,330.0,-237.0
14,Covasna,88.0,9.0
15,Dambovita,34.0,-134.0
16,Dolj,-160.0,-249.0
17,Galati,271.0,-7.0
18,Giurgiu,89.0,-253.0
19,Gorj,-183.0,-126.0
20,Harghita,41.0,110.0
21,Hunedoara,-224.0,-9.0
22,Ialomita,217.0,-176.0
23,Iasi,217.0,209.0
24,Ilfov,101.0,-192.0
25,Maramures,-119.0,278.0
26,Mehedinti,-236.0,-179.0
27,Mures,-52.0,111.0
28,Neamt,114.0,167.0
29,Olt,-67.0,-231.0
30,Prahova,93.0,-111.0
31,Salaj,-195.0,203.0
32,Satu Mare,-230.0,275.0
33,Sibiu,-90.0,4.0
34,Suceava,61.0,262.0
35,Teleorman,1.0,-268.0
36,Timis,-397.0,-11.0
37,Tulcea,370.0,-105.0
38,Valcea,-103.0,-109.0
39,Vaslui,267.0,104.0
40,Vrancea,180.0,-6.0
