(-167.0, 61.0)
(-338.0, 74.0)
(-33.0, -108.0)
(164.0, 87.0)
(-302.0, 173.0)
(-68.0, 210.0)
(158.0, 310.0)
(263.0, -106.0)
(12.0, -7.0)
(168.0, -86.0)
(195.0, -226.0)
(-334.0, -100.0)
(-160.0, 138.0)
(330.0, -237.0)
(88.0, 9.0)
(34.0, -134.0)
(-160.0, -249.0)
(271.0, -7.0)
(89.0, -253.0)
(-183.0, -126.0)
(41.0, 110.0)
(-224.0, -9.0)
(217.0, -176.0)
(217.0, 209.0)
(101.0, -192.0)
(-119.0, 278.0)
(-236.0, -179.0)
(-52.0, 111.0)
(114.0, 167.0)
(-67.0, -231.0)
(93.0, -111.0)
(-195.0, 203.0)
(-230.0, 275.0)
(-90.0, 4.0)
(61.0, 262.0)
(1.0, -268.0)
(-397.0, -11.0)
(370.0, -105.0)
(-103.0, -109.0)
(267.0, 104.0)
(180.0, -6.0)
